32000 [1.41e-03, 1.00e-03]
32200 [1.41e-03, 1.00e-03]
32400 [1.40e-03, 1.00e-03]
32600 [1.40e-03, 1.00e-03]
32800 [1.40e-03, 1.00e-03]
33000 [1.40e-03, 1.00e-03]
33200 [1.40e-03, 1.00e-03]
33400 [1.39e-03, 1.00e-03]
33600 [1.39e-03, 1.00e-03]
33800 [1.39e-03, 1.00e-03]
34000 [1.39e-03, 1.00e-03]
34200 [1.39e-03, 1.00e-03]
34400 [1.39e-03, 1.00e-03]
34600 [1.39e-03, 1.00e-03]
34800 [1.38e-03, 1.00e-03]
35000 [1.38e-03, 1.00e-03]
35200 [1.38e-03, 1.00e-03]
35400 [1.38e-03, 1.00e-03]
35600 [1.38e-03, 1.00e-03]
35800 [1.38e-03, 1.00e-03]
36000 [1.38e-03, 1.00e-03]
36200 [1.37e-03, 1.00e-03]
36400 [1.37e-03, 1.00e-03]
36600 [1.37e-03, 1.00e-03]
36800 [1.37e-03, 1.00e-03]
37000 [1.37e-03, 1.00e-03]
37200 [1.37e-03, 1.00e-03]
37400 [1.37e-03, 1.00e-03]
37600 [1.37e-03, 1.00e-03]
37800 [1.36e-03, 1.00e-03]
38000 [1.36e-03, 1.00e-03]
38200 [1.36e-03, 1.00e-03]
38400 [1.36e-03, 1.00e-03]
38600 [1.36e-03, 1.00e-03]
38800 [1.36e-03, 1.00e-03]
39000 [1.36e-03, 1.00e-03]
39200 [1.36e-03, 1.00e-03]
39400 [1.36e-03, 1.00e-03]
39600 [1.36e-03, 1.00e-03]
39800 [1.35e-03, 1.00e-03]
40000 [1.35e-03, 1.00e-03]
40200 [1.35e-03, 1.00e-03]
40400 [1.35e-03, 1.00e-03]
40600 [1.35e-03, 1.00e-03]
40800 [1.35e-03, 1.00e-03]
41000 [1.35e-03, 1.00e-03]
41200 [1.35e-03, 1.00e-03]
41400 [1.35e-03, 1.00e-03]
41600 [1.35e-03, 1.00e-03]
41800 [1.35e-03, 1.00e-03]
42000 [1.35e-03, 1.00e-03]
42200 [1.35e-03, 1.00e-03]
42400 [1.34e-03, 1.00e-03]
42600 [1.34e-03, 1.00e-03]
42800 [1.34e-03, 1.00e-03]
43000 [1.34e-03, 1.00e-03]
43200 [1.34e-03, 1.00e-03]
43400 [1.34e-03, 1.00e-03]
43600 [1.34e-03, 1.00e-03]
43800 [1.34e-03, 1.00e-03]
44000 [1.34e-03, 1.00e-03]
44200 [1.34e-03, 1.00e-03]
44400 [1.34e-03, 1.00e-03]
44600 [1.34e-03, 1.00e-03]
44800 [1.34e-03, 1.00e-03]
45000 [1.34e-03, 1.00e-03]
45200 [1.33e-03, 1.00e-03]
45400 [1.33e-03, 1.00e-03]
45600 [1.33e-03, 1.00e-03]
45800 [1.33e-03, 1.00e-03]
46000 [1.33e-03, 1.00e-03]
46200 [1.33e-03, 1.00e-03]
46400 [1.33e-03, 1.00e-03]
46600 [1.33e-03, 1.00e-03]
46800 [1.33e-03, 1.00e-03]
47000 [1.33e-03, 1.00e-03]
47200 [1.33e-03, 1.00e-03]
47400 [1.33e-03, 1.00e-03]
47600 [1.33e-03, 1.00e-03]
47800 [1.33e-03, 1.00e-03]
48000 [1.33e-03, 1.00e-03]
48200 [1.32e-03, 1.00e-03]
48400 [1.32e-03, 1.00e-03]
48600 [1.32e-03, 1.00e-03]
48800 [1.32e-03, 1.00e-03]
49000 [1.32e-03, 1.00e-03]
49200 [1.32e-03, 1.00e-03]
49400 [1.32e-03, 1.00e-03]
49600 [1.32e-03, 1.00e-03]
49800 [1.32e-03, 1.00e-03]
50000 [1.32e-03, 1.00e-03]
