0 [6.93e-02, 6.93e-02]
200 [6.17e-02, 7.74e-02]
400 [5.28e-02, 8.69e-02]
600 [4.68e-02, 9.40e-02]
800 [4.34e-02, 9.85e-02]
1000 [4.19e-02, 1.01e-01]
1200 [4.13e-02, 1.02e-01]
1400 [4.11e-02, 1.02e-01]
1600 [4.11e-02, 1.01e-01]
1800 [4.11e-02, 1.00e-01]
2000 [4.11e-02, 9.91e-02]
2200 [4.11e-02, 9.77e-02]
2400 [4.11e-02, 9.62e-02]
2600 [4.11e-02, 9.45e-02]
2800 [4.10e-02, 9.26e-02]
3000 [4.10e-02, 9.05e-02]
3200 [4.10e-02, 8.80e-02]
3400 [4.10e-02, 8.52e-02]
3600 [4.10e-02, 8.21e-02]
3800 [4.10e-02, 7.86e-02]
4000 [4.09e-02, 7.46e-02]
4200 [4.09e-02, 7.01e-02]
4400 [4.09e-02, 6.50e-02]
4600 [4.08e-02, 5.92e-02]
4800 [4.07e-02, 5.29e-02]
5000 [4.06e-02, 4.59e-02]
5200 [4.04e-02, 3.85e-02]
5400 [4.02e-02, 3.09e-02]
5600 [3.98e-02, 2.36e-02]
5800 [3.91e-02, 1.71e-02]
6000 [3.81e-02, 1.19e-02]
6200 [3.64e-02, 8.02e-03]
6400 [3.38e-02, 5.28e-03]
6600 [2.98e-02, 3.45e-03]
6800 [2.41e-02, 2.32e-03]
7000 [1.78e-02, 1.70e-03]
7200 [1.30e-02, 1.41e-03]
7400 [9.69e-03, 1.27e-03]
7600 [7.53e-03, 1.19e-03]
7800 [6.04e-03, 1.14e-03]
8000 [4.98e-03, 1.11e-03]
8200 [4.19e-03, 1.09e-03]
8400 [3.61e-03, 1.07e-03]
8600 [3.17e-03, 1.06e-03]
8800 [2.83e-03, 1.05e-03]
9000 [2.55e-03, 1.05e-03]
9200 [2.32e-03, 1.04e-03]
9400 [2.13e-03, 1.03e-03]
9600 [1.97e-03, 1.03e-03]
9800 [1.83e-03, 1.03e-03]
10000 [1.72e-03, 1.02e-03]
10200 [1.62e-03, 1.02e-03]
10400 [1.53e-03, 1.02e-03]
10600 [1.45e-03, 1.02e-03]
10800 [1.38e-03, 1.01e-03]
11000 [1.33e-03, 1.01e-03]
11200 [1.27e-03, 1.01e-03]
11400 [1.22e-03, 1.01e-03]
11600 [1.18e-03, 1.01e-03]
11800 [1.15e-03, 1.01e-03]
12000 [1.11e-03, 1.01e-03]
