# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.541287422180175781e-01 2.169672399759292603e-01 1.515388339757919312e-01 6.511839032173156738e-01 5.052713751792907715e-01 1.972131282091140747e-01 1.515388339757919312e-01 6.511839032173156738e-01
1.000000000000000000e+03 1.316956877708435059e-01 1.128043532371520996e-01 9.691125154495239258e-02 5.692656040191650391e-01 1.117603778839111328e-01 1.043854281306266785e-01 9.691125154495239258e-02 5.692656040191650391e-01
2.000000000000000000e+03 1.121903210878372192e-02 2.017733082175254822e-02 3.154318779706954956e-02 3.985720276832580566e-01 1.068249624222517014e-02 1.405673567205667496e-02 3.154318779706954956e-02 3.985720276832580566e-01
3.000000000000000000e+03 6.886667106300592422e-03 1.370954886078834534e-02 2.987854881212115288e-03 3.915259614586830139e-02 5.737472325563430786e-03 1.296301372349262238e-02 2.987854881212115288e-03 3.915259614586830139e-02
4.000000000000000000e+03 2.053749747574329376e-03 1.474704360589385033e-03 1.917006375151686370e-05 1.065905857831239700e-02 1.333264634013175964e-03 1.767208566889166832e-03 1.917006375151686370e-05 1.065905857831239700e-02
5.000000000000000000e+03 1.572103472426533699e-03 7.300902507267892361e-04 5.015145688958000392e-06 9.106389246881008148e-03 1.072728889994323254e-03 6.837550899945199490e-04 5.015145688958000392e-06 9.106389246881008148e-03
6.000000000000000000e+03 1.095602521672844887e-03 7.669024635106325150e-04 1.098104985430836678e-05 7.406948134303092957e-03 8.924502762965857983e-04 6.891193916089832783e-04 1.098104985430836678e-05 7.406948134303092957e-03
7.000000000000000000e+03 7.340669981203973293e-04 5.291194538585841656e-04 2.169342405977658927e-05 5.040795076638460159e-03 6.569104734808206558e-04 1.129660988226532936e-03 2.169342405977658927e-05 5.040795076638460159e-03
8.000000000000000000e+03 2.365751279285177588e-04 2.433458430459722877e-04 5.185586360312299803e-06 1.293173991143703461e-03 2.360102662350982428e-04 6.154658622108399868e-04 5.185586360312299803e-06 1.293173991143703461e-03
9.000000000000000000e+03 2.165888145100325346e-05 3.636907786130905151e-05 4.609186419202160323e-07 3.045767953153699636e-04 2.828950528055429459e-05 1.253575173905119300e-04 4.609186419202160323e-07 3.045767953153699636e-04
1.000000000000000000e+04 1.052852803695714101e-05 7.916817594377789646e-06 1.345827627119433600e-07 1.847539824666455388e-04 9.626840437704231590e-06 1.134259146056137979e-04 1.345827627119433600e-07 1.847539824666455388e-04
1.100000000000000000e+04 7.418054337904322892e-06 4.418292974150972441e-06 4.746329409499594476e-07 1.630600454518571496e-04 7.023463695077225566e-06 8.594258542871102691e-05 4.746329409499594476e-07 1.630600454518571496e-04
